student_id,study_hours_per_week,attendance_rate,previous_grades,participation_in_extracurricular_activities,parent_education_level,passed,performance
S00046,6.4,47.0,56.8,No,High School,No,Low
S00047,7.7,79.5,56.3,No,Doctorate,No,Low
S00048,15.3,77.0,97.2,Yes,High School,Yes,High
S00049,11.7,63.3,60.0,No,Associate,No,Medium
S00050,1.2,118.9,70.5,No,Master,Yes,Medium
S00051,11.6,127.4,71.3,Yes,High School,Yes,Medium
S00052,8.1,69.7,39.1,No,Doctorate,No,Low
S00053,6.6,92.5,39.3,Yes,Doctorate,Yes,Low
S00054,13.1,93.5,65.2,No,Bachelor,Yes,Low
S00055,15.2,96.1,49.3,Yes,Bachelor,Yes,Low
S00056,14.7,62.2,65.2,No,Bachelor,Yes,Medium
S00057,5.8,113.8,42.3,Yes,Doctorate,Yes,Low
S00058,8.5,73.6,60.1,Yes,Bachelor,No,Medium
S00059,11.7,83.4,68.2,No,Master,Yes,Medium
S00060,14.9,75.0,34.1,No,High School,No,Low
S00061,7.6,72.2,65.8,No,High School,Yes,Medium
S00062,9.1,80.6,66.6,No,Bachelor,No,Medium
S00063,4.5,51.3,58.0,Yes,Associate,Yes,Low
S00064,4.0,35.6,48.5,Yes,Associate,Yes,Low
S00065,14.1,70.7,59.4,Yes,High School,No,Low
S00066,16.8,57.4,59.4,No,High School,Yes,Low
S00067,9.6,86.0,93.9,No,Associate,No,High
S00068,15.0,83.7,63.2,Yes,Bachelor,Yes,Medium
S00069,11.8,75.3,58.0,No,Doctorate,No,Low
S00070,6.8,104.6,63.2,No,Associate,No,Medium
S00071,11.8,74.9,71.4,No,Master,Yes,Medium
S00072,17.7,45.8,70.8,Yes,Bachelor,Yes,Medium
S00073,9.8,70.5,71.7,Yes,Master,No,Medium
S00074,17.8,98.4,74.0,No,Doctorate,Yes,Medium
S00075,-3.1,37.3,43.1,No,Master,Yes,Low
S00076,14.1,73.1,72.7,No,Doctorate,Yes,Medium
S00077,10.4,86.5,67.8,No,Doctorate,Yes,Medium
S00078,8.5,128.0,55.7,Yes,Bachelor,Yes,Low
S00079,10.5,99.2,66.6,No,High School,Yes,Medium
S00080,0.1,77.7,63.4,No,Associate,Yes,Medium
S00081,8.9,85.4,64.7,No,Doctorate,Yes,Medium
S00082,11.8,37.0,67.6,No,Master,Yes,Medium
S00083,17.4,75.3,39.8,No,Master,No,Low
S00084,7.4,75.3,68.9,No,Bachelor,Yes,Medium
S00085,6.0,78.2,74.8,No,Bachelor,Yes,Medium
S00086,7.5,80.8,68.7,No,Doctorate,Yes,Medium
S00087,14.6,75.7,54.1,Yes,Master,No,Low
S00088,11.6,74.9,52.1,Yes,Master,No,Low
S00089,7.4,77.1,67.7,Yes,Bachelor,Yes,Medium
S00090,12.6,53.9,77.0,No,Doctorate,No,Medium
S00091,10.5,70.4,84.6,Yes,Bachelor,No,High
S00092,14.8,75.3,76.5,Yes,High School,Yes,Medium
S00093,6.5,62.6,72.7,Yes,High School,Yes,Medium
S00094,8.4,98.9,26.9,No,Doctorate,Yes,Low
S00095,8.0,71.4,65.2,No,Doctorate,No,Low
S00096,2.7,86.9,65.2,No,Associate,No,Low
S00097,11.5,77.3,54.8,No,Associate,Yes,Low
S00098,11.3,67.3,200.0,Yes,Master,Yes,High
S00099,10.0,54.8,49.1,Yes,Associate,Yes,Low
S00100,8.8,67.0,91.5,No,Associate,No,High
S00101,2.9,78.7,45.5,No,Master,Yes,Low
S00102,7.9,86.6,61.8,No,High School,No,Medium
S00103,10.0,77.4,54.1,Yes,Bachelor,Yes,Low
S00104,6.0,88.0,52.0,No,High School,No,Low
S00105,9.2,44.6,71.2,Yes,Doctorate,Yes,Medium
S00106,12.0,92.3,77.3,Yes,Doctorate,Yes,Medium
S00107,19.4,52.4,47.3,Yes,Associate,Yes,Low
S00108,10.9,94.7,65.8,Yes,Master,Yes,Medium
S00109,11.3,75.3,63.3,No,Associate,Yes,Medium
S00110,9.6,37.6,58.2,Yes,Master,Yes,Low
S00111,10.0,89.7,51.0,Yes,High School,No,Low
S00112,9.9,94.9,81.6,Yes,Bachelor,No,High
S00113,10.3,100.2,49.5,No,High School,Yes,Low
S00114,22.3,59.6,45.5,Yes,Associate,No,Low
S00115,9.0,78.6,81.5,Yes,Associate,Yes,High
S00116,11.5,88.9,68.0,No,High School,Yes,Medium
S00117,9.8,89.7,47.3,Yes,Associate,Yes,Low
S00118,4.2,83.2,63.8,No,Doctorate,Yes,Medium
S00119,15.7,66.5,55.6,No,Bachelor,Yes,Low
S00120,13.8,94.8,87.3,Yes,Doctorate,Yes,High
S00121,14.0,94.9,61.4,No,Bachelor,Yes,Medium
S00122,5.5,71.9,73.0,No,High School,Yes,Medium
S00123,17.0,59.3,64.7,Yes,Doctorate,No,Medium
S00124,3.0,75.3,86.6,No,Doctorate,No,High
S00125,12.9,102.3,68.1,No,Bachelor,Yes,Medium
S00126,21.0,94.0,82.4,Yes,Bachelor,No,High
S00127,10.0,74.6,73.1,No,Associate,No,Medium
S00128,7.2,71.0,56.7,No,Doctorate,Yes,Low
S00129,10.5,39.6,65.0,Yes,Master,Yes,Medium
S00130,7.5,73.3,61.8,No,Master,Yes,Medium
S00131,2.2,51.2,56.4,Yes,High School,No,Low
S00132,10.3,78.2,48.8,No,Bachelor,No,Low
S00133,4.7,98.7,85.4,No,Master,Yes,High
S00134,12.4,55.4,34.1,No,Bachelor,No,Low
S00135,5.4,79.8,85.0,No,High School,No,High
S00136,17.7,95.0,44.9,Yes,Doctorate,Yes,Low
S00137,6.1,79.4,73.1,No,Associate,Yes,Medium
S00138,8.4,64.5,56.2,Yes,Bachelor,Yes,Low
S00139,14.1,75.2,40.0,No,Bachelor,Yes,Low
S00140,3.8,94.1,82.2,No,Doctorate,Yes,High
S00141,11.1,80.3,29.0,Yes,Associate,Yes,Low
S00142,16.5,74.9,76.9,No,Associate,No,Medium
S00143,2.0,98.1,66.9,No,High School,Yes,Medium
S00144,10.9,85.3,80.8,No,Bachelor,Yes,High
S00145,11.3,50.9,74.4,Yes,High School,Yes,Medium
S00146,13.9,87.6,74.2,Yes,Doctorate,No,Medium
S00147,3.8,94.0,78.5,No,Doctorate,Yes,Medium
S00148,3.4,50.3,65.2,Yes,Associate,No,Low
S00149,12.6,29.6,65.2,No,High School,No,Low
S00150,11.5,54.2,60.0,No,High School,No,Medium
S00151,11.3,73.0,61.6,Yes,Master,Yes,Medium
S00152,11.7,95.2,66.6,No,Doctorate,Yes,Medium
S00153,6.6,57.2,61.0,No,Master,Yes,Medium
S00154,11.2,86.1,97.8,No,Bachelor,Yes,High
S00155,11.5,17.2,63.7,Yes,Bachelor,No,Medium
S00156,6.4,78.6,47.8,No,Associate,No,Low
S00157,19.3,66.9,63.2,Yes,Master,No,Medium
S00158,12.4,117.0,52.4,No,Master,No,Low
S00159,4.0,37.2,94.4,Yes,Bachelor,Yes,High
S00160,10.0,75.3,66.5,No,Doctorate,Yes,Medium
S00161,5.1,37.0,74.5,No,Bachelor,No,Medium
S00162,13.9,64.0,72.7,No,Master,Yes,Medium
S00163,15.8,41.0,79.2,No,Doctorate,Yes,Medium
S00164,5.9,121.0,68.6,Yes,Doctorate,No,Medium
S00165,14.8,67.9,59.0,Yes,Associate,Yes,Low
S00166,12.1,70.8,65.7,No,High School,No,Medium
S00167,14.1,74.1,46.6,No,Master,No,Low
S00168,19.5,52.4,65.2,Yes,Doctorate,Yes,Low
S00169,8.8,96.1,91.9,No,Bachelor,No,High
S00170,6.2,87.8,76.0,No,Doctorate,No,Medium
S00171,5.6,93.4,63.4,No,Bachelor,No,Medium
S00172,5.9,50.6,65.2,Yes,Master,Yes,Low
S00173,9.6,97.7,55.9,No,High School,No,Low
S00174,11.7,95.4,70.1,No,Master,Yes,Medium
S00175,11.4,70.4,60.5,Yes,Bachelor,No,Medium
S00176,14.1,92.9,61.9,No,Doctorate,No,Medium
S00177,10.1,80.5,70.9,Yes,Associate,Yes,Medium
S00178,17.3,43.1,73.6,No,Doctorate,Yes,Medium
S00179,8.7,71.3,62.0,Yes,Bachelor,Yes,Medium
S00180,10.0,65.4,52.5,Yes,Bachelor,Yes,Low
S00181,13.1,76.7,92.5,Yes,Bachelor,Yes,High
S00182,5.7,95.4,66.5,No,Associate,Yes,Medium
S00183,4.6,75.3,49.4,No,Bachelor,No,Low
S00184,12.4,66.1,49.7,Yes,Associate,No,Low
S00185,8.9,58.6,94.9,No,Associate,No,High
S00186,13.6,59.4,102.0,Yes,High School,No,High
S00187,12.4,58.5,70.0,No,Master,No,Medium
S00188,9.6,76.4,55.8,No,Doctorate,Yes,Low
S00189,5.8,85.5,65.2,Yes,Associate,Yes,Low
S00190,2.4,82.0,60.4,Yes,Associate,Yes,Medium
S00191,7.8,78.7,73.6,No,Master,Yes,Medium
S00192,14.3,87.4,70.3,No,Doctorate,Yes,Medium
S00193,11.1,122.6,64.5,No,Doctorate,Yes,Medium
S00194,3.8,77.7,63.7,Yes,Bachelor,Yes,Medium
S00195,10.9,95.4,61.7,No,Associate,No,Medium
S00196,11.9,94.3,79.2,No,High School,No,Medium
S00197,5.6,110.6,62.1,Yes,High School,No,Medium
S00198,10.8,86.2,95.8,No,Master,Yes,High
S00199,10.3,58.1,97.2,No,High School,Yes,High
S00200,10.0,81.1,59.3,No,Bachelor,No,Low
S00201,11.8,80.0,59.6,No,Associate,Yes,Low
S00202,12.8,91.3,64.3,Yes,Bachelor,Yes,Medium
S00203,15.4,57.5,55.4,Yes,Associate,Yes,Low
S00204,15.3,100.3,77.8,Yes,High School,Yes,Medium
S00205,3.1,75.1,82.8,No,Master,Yes,High
S00206,5.3,91.8,84.3,Yes,Associate,Yes,High
S00207,12.6,81.2,61.9,No,Bachelor,No,Medium
S00208,12.6,77.5,61.7,No,Associate,Yes,Medium
S00209,12.6,79.7,35.1,No,Bachelor,Yes,Low
S00210,29.3,75.3,55.1,Yes,Bachelor,Yes,Low
S00211,12.9,114.2,51.0,No,Doctorate,No,Low
S00212,15.7,34.7,48.4,No,Master,No,Low
S00213,14.8,85.8,57.7,Yes,Bachelor,Yes,Low
S00214,13.3,75.9,60.4,No,High School,No,Medium
S00215,8.4,71.5,64.6,Yes,Associate,No,Medium
S00216,13.8,27.7,85.4,No,Bachelor,Yes,High
S00217,6.1,86.6,82.5,Yes,Bachelor,No,High
S00218,8.8,75.3,48.1,Yes,Doctorate,Yes,Low
S00219,7.6,58.3,71.4,No,Associate,No,Medium
S00220,10.4,75.8,53.0,Yes,Associate,No,Low
S00221,21.6,69.1,67.2,Yes,Bachelor,Yes,Medium
S00222,0.7,40.2,65.2,No,High School,Yes,Low
S00223,13.4,76.8,57.7,Yes,Bachelor,Yes,Low
S00224,1.9,86.6,50.2,Yes,Bachelor,Yes,Low
S00225,7.6,64.0,65.8,Yes,Associate,Yes,Medium
S00226,15.4,80.2,84.8,No,Doctorate,Yes,High
S00227,10.3,77.2,95.1,No,Master,Yes,High
S00228,4.6,95.9,55.8,No,Associate,No,Low
S00229,6.4,72.9,67.0,Yes,Master,Yes,Medium
S00230,10.0,91.0,69.1,Yes,High School,Yes,Medium
S00231,10.0,68.7,43.7,No,Master,No,Low
S00232,11.1,114.3,42.9,Yes,High School,No,Low
S00233,10.2,66.3,69.9,Yes,High School,No,Medium
S00234,6.7,61.3,59.4,Yes,Associate,No,Low
S00235,20.7,73.0,44.0,Yes,Doctorate,No,Low
S00236,13.2,60.4,65.2,Yes,High School,Yes,Low
S00237,-0.1,50.0,65.9,No,Bachelor,No,Medium
S00238,10.9,89.6,65.2,Yes,Master,No,Medium
S00239,6.7,13.7,48.6,No,Master,No,Low
S00240,14.3,60.6,39.4,Yes,High School,No,Low
S00241,6.0,48.2,56.0,No,Bachelor,No,Low
S00242,9.4,77.8,65.7,Yes,Bachelor,No,Medium
S00243,12.5,31.2,54.4,No,Associate,No,Low
S00244,14.3,86.0,48.5,No,Doctorate,Yes,Low
S00245,4.0,75.3,59.4,Yes,Bachelor,Yes,Low
S00246,8.3,42.3,65.5,No,Associate,Yes,Medium
S00247,7.6,78.8,86.2,No,Doctorate,No,High
S00248,6.7,85.3,67.3,No,Doctorate,Yes,Medium
S00249,18.8,93.8,43.0,No,Bachelor,Yes,Low
S00250,12.0,45.6,34.7,No,Master,No,Low
S00251,3.7,42.8,28.2,No,Master,Yes,Low
S00252,14.6,105.1,70.1,No,High School,Yes,Medium
S00253,20.6,58.6,49.2,Yes,Associate,No,Low
S00254,15.2,64.5,72.5,No,Master,No,Medium
S00255,2.4,75.3,65.2,Yes,Associate,Yes,Low
S00256,7.6,51.6,73.9,Yes,High School,No,Medium
S00257,16.3,69.7,61.6,No,Bachelor,No,Medium
S00258,6.5,92.8,92.7,Yes,Bachelor,Yes,High
S00259,12.2,46.6,58.1,No,Master,No,Low
S00260,13.9,65.0,51.5,Yes,Master,No,Low
S00261,5.4,52.5,70.0,Yes,Doctorate,Yes,Medium
S00262,9.7,59.5,76.6,No,Master,Yes,Medium
S00263,-6.2,98.7,26.2,Yes,High School,Yes,Low
S00264,4.9,103.1,81.7,Yes,High School,No,High
S00265,8.7,80.2,40.6,No,Bachelor,Yes,Low
S00266,3.8,85.6,34.2,Yes,Master,Yes,Low
S00267,18.2,85.1,59.8,No,Associate,No,Low
S00268,2.8,61.6,49.1,No,Doctorate,Yes,Low
S00269,7.8,79.8,71.2,Yes,Associate,No,Medium
S00270,10.7,49.1,70.3,Yes,Bachelor,Yes,Medium
S00271,17.2,55.8,69.6,Yes,Bachelor,No,Medium
S00272,2.8,73.3,83.4,Yes,Master,Yes,High
S00273,15.8,53.8,60.3,No,Associate,No,Medium
S00274,10.1,49.5,70.5,Yes,High School,Yes,Medium
S00275,10.0,60.8,40.0,Yes,Master,Yes,Low
S00276,12.3,97.9,79.4,No,Doctorate,Yes,Medium
S00277,11.0,106.1,57.5,No,Associate,Yes,Low
S00278,7.0,74.3,60.7,Yes,Master,No,Medium
S00279,10.3,86.6,59.9,No,Doctorate,Yes,Low
S00280,8.1,63.7,63.5,Yes,Doctorate,No,Medium
S00281,10.6,33.7,59.5,No,Bachelor,No,Low
S00282,13.3,57.1,32.5,Yes,High School,No,Low
S00283,17.9,75.3,83.6,No,Bachelor,Yes,High
S00284,3.8,77.8,55.2,No,Associate,Yes,Low
S00285,20.7,73.0,59.4,Yes,Doctorate,Yes,Low
S00286,0.2,69.4,62.1,No,High School,Yes,Medium
S00287,9.2,63.5,72.9,No,Bachelor,No,Medium
S00288,12.9,81.9,57.6,No,Doctorate,Yes,Low
S00289,11.4,47.7,81.0,No,High School,No,High
S00290,6.9,91.0,93.1,Yes,Bachelor,Yes,High
S00291,9.0,63.3,89.5,No,Doctorate,Yes,High
S00292,7.5,116.3,68.8,Yes,Associate,No,Medium
S00293,7.1,68.7,56.4,Yes,Associate,No,Low
S00294,14.2,65.4,56.0,Yes,Bachelor,No,Low
S00295,11.8,63.7,59.5,No,Bachelor,Yes,Low
S00296,6.5,65.6,52.2,Yes,High School,Yes,Low
S00297,14.5,87.1,71.2,No,High School,No,Medium
S00298,11.5,74.2,65.2,No,Doctorate,No,Low
S00299,14.1,94.7,64.8,Yes,Associate,Yes,Medium
S00300,13.1,84.3,60.4,Yes,Associate,No,Medium
S00301,5.9,75.6,65.2,No,High School,Yes,Low
S00302,7.2,82.5,68.8,Yes,Doctorate,No,Medium
S00303,13.7,98.9,59.7,Yes,High School,Yes,Low
S00304,13.1,88.1,62.8,No,Bachelor,Yes,Medium
S00305,9.9,80.6,62.8,No,Bachelor,No,Medium
S00306,10.6,83.5,75.1,Yes,Master,Yes,Medium
S00307,16.4,51.9,53.3,No,High School,No,Low
S00308,7.0,126.4,58.0,Yes,Doctorate,Yes,Low
S00309,12.7,85.6,36.5,No,Associate,Yes,Low
S00310,9.0,87.6,48.9,Yes,Master,No,Low
S00311,8.9,75.3,61.5,Yes,Master,Yes,Medium
S00312,15.5,29.0,58.4,No,Associate,Yes,Low
S00313,14.1,69.7,35.6,No,Bachelor,No,Low
S00314,14.1,76.5,72.9,Yes,Doctorate,Yes,Medium
S00315,16.5,58.5,51.8,Yes,Bachelor,No,Low
S00316,10.1,75.3,40.7,Yes,Associate,No,Low
S00317,13.4,68.2,70.5,No,Master,No,Medium
S00318,8.4,90.4,77.5,No,Master,No,Medium
S00319,11.6,100.1,200.0,Yes,Bachelor,Yes,High
S00320,9.3,78.4,75.2,Yes,Bachelor,No,Medium
S00321,10.5,63.7,61.8,Yes,Doctorate,Yes,Medium
S00322,13.0,67.8,61.2,No,Bachelor,No,Medium
S00323,5.9,77.0,48.2,Yes,High School,Yes,Low
S00324,20.5,79.4,62.7,Yes,Doctorate,No,Medium
S00325,10.0,83.7,63.6,No,Master,Yes,Medium
S00326,3.9,66.2,98.8,Yes,Master,Yes,High
S00327,15.8,85.6,72.8,No,Master,No,Medium
S00328,14.0,84.0,65.2,No,High School,No,Low
S00329,13.1,67.1,82.7,Yes,High School,Yes,High
S00330,13.1,40.6,78.3,Yes,Associate,Yes,Medium
S00331,9.9,57.3,43.2,No,Associate,Yes,Low
S00332,5.5,106.4,74.9,Yes,Bachelor,Yes,Medium
S00333,10.4,41.1,66.5,Yes,High School,Yes,Medium
S00334,6.6,101.4,54.5,No,Associate,No,Low
S00335,14.9,40.4,49.5,No,Master,Yes,Low
S00336,9.3,59.5,62.8,Yes,Associate,Yes,Medium
S00337,5.9,67.5,64.8,Yes,Associate,Yes,Medium
S00338,8.4,110.6,82.2,Yes,High School,No,High
S00339,12.1,75.5,31.2,Yes,Doctorate,No,Low
S00340,7.2,70.7,46.1,Yes,Doctorate,Yes,Low
S00341,5.9,56.3,67.9,No,Associate,Yes,Medium
S00342,11.2,85.4,62.9,No,Bachelor,No,Medium
S00343,11.2,64.7,66.7,No,Associate,Yes,Medium
S00344,7.5,70.4,58.1,Yes,Master,No,Low
S00345,7.6,67.8,68.7,No,Master,Yes,Medium
S00346,11.2,89.4,41.2,Yes,Associate,Yes,Low
S00347,2.8,90.2,96.5,No,Bachelor,No,High
S00348,3.0,57.2,71.3,No,Master,No,Medium
S00349,6.4,62.5,71.9,No,Bachelor,No,Medium
S00350,8.9,60.5,49.0,No,Master,No,Low
S00351,11.6,78.7,65.2,Yes,High School,No,Low
S00352,17.4,93.1,72.7,No,Associate,No,Medium
S00353,14.3,78.9,59.7,Yes,Bachelor,No,Low
S00354,9.2,31.2,69.0,Yes,Bachelor,No,Medium
S00355,9.9,75.3,53.3,Yes,Bachelor,Yes,Low
S00356,5.0,48.0,44.9,Yes,Associate,Yes,Low
S00357,9.9,60.7,81.7,Yes,High School,Yes,High
S00358,8.6,79.0,51.6,No,Bachelor,No,Low
S00359,11.6,73.3,78.6,Yes,Master,No,Medium
S00360,5.9,92.5,52.4,No,Doctorate,Yes,Low
S00361,12.6,62.8,65.2,No,Bachelor,Yes,Low
S00362,17.7,55.7,59.2,Yes,Doctorate,No,Low
S00363,9.5,68.8,61.8,No,High School,No,Medium
S00364,12.0,94.5,76.4,Yes,Master,Yes,Medium
S00365,13.5,87.6,89.5,Yes,Associate,No,High
S00366,10.0,76.7,62.1,No,Master,No,Medium
S00367,-1.0,101.5,66.8,No,Bachelor,No,Medium
S00368,10.1,97.9,61.0,Yes,Doctorate,No,Medium
S00369,10.5,90.8,66.3,Yes,Master,Yes,Medium
S00370,10.0,51.4,54.2,No,Master,No,Low
S00371,10.1,90.7,49.5,No,Doctorate,Yes,Low
S00372,12.5,71.0,69.9,No,High School,Yes,Medium
S00373,17.3,75.3,68.3,Yes,Bachelor,Yes,Medium
S00374,14.8,75.3,82.0,No,Associate,Yes,High
S00375,20.8,71.6,65.7,No,Bachelor,Yes,Medium
S00376,6.2,62.5,64.3,No,High School,Yes,Medium
S00377,14.4,78.4,72.8,No,Associate,No,Medium
S00378,10.9,71.5,200.0,Yes,Bachelor,Yes,High
S00379,20.9,79.4,62.6,No,Doctorate,No,Medium
S00380,6.0,86.1,26.4,Yes,Associate,No,Low
S00381,5.8,69.1,49.2,No,Associate,No,Low
S00382,7.0,60.3,81.1,Yes,High School,No,High
S00383,-0.6,34.9,65.2,Yes,Master,Yes,Low
S00384,7.4,90.4,85.0,No,Associate,Yes,High
S00385,6.2,76.6,58.4,Yes,Associate,No,Low
S00386,10.8,71.5,60.1,No,Doctorate,No,Medium
S00387,11.7,98.4,76.1,No,Bachelor,Yes,Medium
S00388,19.4,49.2,74.0,Yes,Doctorate,No,Medium
S00389,10.0,76.1,65.2,Yes,Bachelor,Yes,Low
S00390,7.1,55.7,65.6,Yes,Bachelor,Yes,Medium
S00391,5.5,88.1,64.2,No,Associate,No,Medium
S00392,12.5,30.5,47.7,Yes,High School,No,Low
S00393,3.4,91.1,56.0,No,Bachelor,No,Low
S00394,19.2,90.3,69.0,Yes,Master,Yes,Medium
S00395,15.9,56.5,61.7,No,High School,No,Medium
S00396,7.7,76.3,79.0,No,High School,No,Medium
S00397,10.0,57.0,91.4,Yes,Master,No,High
S00398,16.8,83.6,79.2,Yes,Bachelor,Yes,Medium
S00399,9.4,91.4,71.7,Yes,Bachelor,Yes,Medium
S00400,16.2,54.9,62.8,Yes,Doctorate,Yes,Medium
S00401,2.0,49.1,76.9,No,Doctorate,Yes,Medium
S00402,7.0,96.9,55.7,Yes,Bachelor,No,Low
S00403,10.0,113.8,56.8,Yes,Associate,No,Low
S00404,10.2,84.9,46.5,No,Doctorate,No,Low
S00405,7.7,86.4,41.7,Yes,Associate,No,Low
S00406,13.1,75.3,84.2,No,Bachelor,Yes,High
S00407,4.7,78.6,69.0,Yes,Master,No,Medium
S00408,9.3,82.0,73.0,No,Associate,No,Medium
S00409,10.6,71.3,63.1,Yes,Doctorate,No,Medium
S00410,12.6,75.3,93.3,No,Associate,Yes,High
S00411,13.6,78.5,91.4,No,Bachelor,Yes,High
S00412,4.4,81.1,64.7,Yes,Master,Yes,Medium
S00413,2.3,71.8,64.6,No,Doctorate,No,Medium
S00414,10.0,73.8,61.7,Yes,Doctorate,Yes,Medium
S00415,11.7,75.3,48.3,Yes,Bachelor,Yes,Low
S00416,6.3,77.9,58.9,No,Bachelor,No,Low
S00417,17.8,78.4,60.3,Yes,High School,Yes,Medium
S00418,10.6,78.6,31.7,Yes,Bachelor,No,Low
S00419,15.9,67.7,30.8,Yes,Bachelor,No,Low
S00420,10.3,46.8,64.0,No,Bachelor,Yes,Medium
S00421,20.3,106.5,77.5,No,Bachelor,Yes,Medium
S00422,18.8,75.3,53.4,No,Bachelor,Yes,Low
S00423,8.8,100.0,91.2,Yes,Bachelor,No,High
S00424,14.9,53.5,60.8,No,Bachelor,Yes,Medium
S00425,13.2,103.9,52.3,Yes,High School,No,Low
S00426,16.8,114.3,43.6,Yes,Doctorate,Yes,Low
S00427,5.2,95.9,66.5,No,Associate,No,Medium
S00428,10.0,108.0,34.8,Yes,Associate,Yes,Low
S00429,10.0,91.0,53.8,No,Bachelor,Yes,Low
S00430,1.2,58.1,65.7,No,High School,No,Medium
S00431,4.1,75.3,44.0,No,Associate,Yes,Low
S00432,-0.2,75.3,57.2,No,Doctorate,No,Low
S00433,8.7,63.1,65.4,Yes,Master,Yes,Medium
S00434,13.6,81.3,46.7,No,Associate,Yes,Low
S00435,17.5,78.6,74.8,Yes,Bachelor,Yes,Medium
S00436,10.0,84.3,79.1,Yes,Master,Yes,Medium
S00437,18.1,39.2,65.2,No,High School,Yes,Low
S00438,3.1,75.3,62.0,Yes,Associate,Yes,Medium
S00439,1.5,86.0,63.1,Yes,High School,Yes,Medium
S00440,9.7,90.0,70.2,Yes,Bachelor,No,Medium
S00441,11.9,91.3,60.5,Yes,Bachelor,Yes,Medium
S00442,9.8,80.0,54.2,Yes,High School,Yes,Low
S00443,-0.3,67.4,49.1,No,Bachelor,No,Low
S00444,9.6,85.0,65.2,No,Bachelor,Yes,Low
S00445,3.5,69.0,56.3,Yes,Master,No,Low
S00446,13.3,93.0,65.2,No,Bachelor,No,Low
S00447,11.8,83.5,80.7,Yes,Doctorate,Yes,High
S00448,5.3,73.8,67.2,No,Associate,No,Medium
S00449,7.4,59.6,49.7,No,Bachelor,No,Low
S00450,4.7,97.4,65.2,Yes,High School,Yes,Low
S00451,9.7,86.2,50.5,Yes,Bachelor,No,Low
S00452,14.8,117.1,65.2,Yes,High School,No,Low
S00453,-1.0,85.5,56.8,No,Associate,Yes,Low
S00454,12.5,87.2,61.9,No,High School,No,Medium
S00455,7.3,45.7,55.7,No,Associate,Yes,Low
S00456,6.0,81.2,65.2,Yes,Bachelor,Yes,Low
S00457,9.5,68.7,74.8,No,Master,Yes,Medium
S00458,4.8,91.5,54.4,No,Doctorate,Yes,Low
S00459,7.2,81.7,62.4,No,Master,No,Medium
S00460,4.0,94.7,57.9,No,Associate,Yes,Low
S00461,19.8,117.7,50.2,Yes,Master,Yes,Low
S00462,10.2,59.0,67.4,No,Doctorate,No,Medium
S00463,6.5,93.9,36.8,No,Associate,No,Low
S00464,11.1,88.7,50.6,Yes,High School,Yes,Low
